feature,importance
cn_ploidy_ratio,212441.953125
pLOH,9214.6689453125
type_SKCM,7697.2021484375
CN8,7671.14990234375
purity,5600.37451171875
high_cn_sum,4834.20947265625
CN17,4452.7197265625
total_cn_sum,4394.27490234375
CN9,4388.71826171875
type_SARC,4310.17626953125
cna_burden,4109.6611328125
ascore_norm,4069.513671875
CN14,3863.111083984375
segVal,3752.512939453125
type_HNSC,3689.38134765625
age,3375.7568359375
CN5,3323.009765625
CN18,3223.77587890625
CN7,3155.744140625
purity_ploidy,3116.344970703125
AScore,3111.78271484375
CN1,2968.17236328125
cn_diversity,2964.20361328125
CN15,2881.3505859375
linear_circular_ratio,2871.413330078125
CN10,2818.017822265625
minor_cn_ratio,2815.134033203125
CN19,2754.2294921875
cna_burden_norm,2682.978271484375
CN12,2638.0068359375
CN3,2577.016845703125
ploidy,2478.30712890625
type_GBM,2474.6630859375
type_UVM,2370.067626953125
type_STAD,2183.1748046875
gender,1969.936279296875
circular_dominance,1858.05419921875
total_freq,1843.123046875
CN2,1839.6141357421875
CN11,1536.09814453125
freq_HR,1522.3426513671875
type_LGG,1431.4805908203125
hr_involvement,1392.8826904296875
type_UCEC,1384.5006103515625
freq_Circular,1297.75390625
CN13,1248.7503662109375
CN4,1247.97802734375
type_BLCA,1222.2088623046875
type_LUAD,1186.6552734375
freq_BFB,1156.3958740234375
freq_Linear,1121.540771484375
minor_cn,1114.33984375
CN6,971.5682373046875
CN16,921.921630859375
type_ESCA,829.5588989257812
intersect_ratio,644.2361450195312
type_COAD,392.8561706542969
type_READ,368.7685546875
type_LIHC,320.98974609375
type_CESC,154.8334197998047
