feature,importance
cn_imbalance,205588.203125
pLOH,7798.72314453125
type_SKCM,7644.90380859375
CN8,6934.5517578125
gender,5234.56494140625
CN9,4736.80615234375
CN17,4345.7734375
purity,4228.83740234375
ascore_adj,4098.46533203125
type_SARC,3648.49658203125
CN18,3602.84375
type_HNSC,3473.544677734375
cna_burden,3434.43896484375
AScore,3333.635009765625
CN7,3248.179931640625
age,3214.783935546875
max_cn_sig,3137.11474609375
cn_sig_diversity,3012.325927734375
type_GBM,2963.890380859375
CN3,2948.6845703125
purity_x_ploidy,2864.548828125
CN1,2856.71435546875
CN19,2847.705322265625
segVal,2831.185546875
CN2,2824.119384765625
CN12,2787.246826171875
CN14,2757.586181640625
allele_imbalance_ratio,2727.19921875
amplicon_type_count,2650.55419921875
CN15,2435.25927734375
ploidy,2424.763671875
type_UVM,2323.3310546875
type_BRCA,2222.0693359375
CN11,2024.5054931640625
type_BLCA,2016.8651123046875
cna_burden_adj,1960.832763671875
type_UCEC,1952.9324951171875
type_STAD,1928.038330078125
type_LGG,1627.6324462890625
CN10,1565.7060546875
freq_Circular,1528.1014404296875
CN16,1515.75244140625
CN13,1471.3232421875
freq_Linear,1422.6888427734375
freq_HR,1298.0650634765625
freq_BFB,1292.6282958984375
CN5,1226.117919921875
minor_cn,1169.0220947265625
type_ESCA,1096.6309814453125
CN4,1049.6107177734375
CN6,981.4602661132812
type_LUAD,544.4261474609375
type_LIHC,537.7542724609375
type_READ,380.8326721191406
type_KIRP,341.4253234863281
type_CESC,279.1847229003906
type_KICH,162.71142578125
