feature,importance
segVal,2214.69384765625
cn_imbalance,770.8287963867188
CN1,540.6746826171875
type_KICH,319.25946044921875
CN16,187.28392028808594
type_SARC,163.14019775390625
ploidy,160.45254516601562
minor_cn,131.4671173095703
type_COAD,128.9208984375
AScore,80.1616439819336
CN14,72.16120147705078
type_SKCM,71.9080581665039
CN17,70.03104400634766
CN9,69.50213623046875
CN7,67.84549713134766
allele_imbalance,60.66399002075195
has_circular,56.46075439453125
type_LUAD,54.34519958496094
max_cn_sig,54.26216506958008
type_LGG,53.00836181640625
pLOH,48.53062057495117
type_BLCA,44.09153366088867
CN6,43.76140594482422
type_HNSC,43.28230667114258
CN3,40.618011474609375
ascore_adj,40.41749954223633
purity_x_ploidy,38.219696044921875
CN5,37.326560974121094
freq_HR,35.3336181640625
CN15,34.74504470825195
type_KIRP,34.61836242675781
freq_Circular,33.413604736328125
purity,32.17470169067383
freq_BFB,31.87678337097168
has_bfb,29.18086051940918
gender,28.70387840270996
CN2,28.437894821166992
CN8,27.70452880859375
freq_Linear,27.475311279296875
type_ESCA,27.225370407104492
CN4,26.295398712158203
cna_burden_adj,25.305042266845703
CN19,24.422744750976562
type_GBM,23.83436393737793
CN10,23.363027572631836
CN13,23.25446128845215
type_BRCA,23.235309600830078
age,22.433698654174805
type_CESC,22.340986251831055
CN12,21.88287925720215
cna_burden,21.814090728759766
CN18,20.00896453857422
type_LUSC,19.17752456665039
type_UCEC,17.47915267944336
CN11,16.656824111938477
type_STAD,15.296344757080078
cn_sig_diversity,15.077446937561035
has_loh,14.46033000946045
type_LIHC,13.875808715820312
amplicon_type_count,12.40163516998291
type_PRAD,6.321521759033203
type_OV,3.6143975257873535
