sample,y_sum
TCGA-02-2485-01,77
TCGA-04-1347-01,6
TCGA-05-4397-01,175
TCGA-05-4402-01,31
TCGA-05-4417-01,6
TCGA-05-4422-01,66
TCGA-05-4432-01,174
TCGA-05-5715-01,54
TCGA-06-0125-01,2
TCGA-06-0128-01,13
TCGA-06-0152-01,16
TCGA-06-0155-01,5
TCGA-06-0157-01,42
TCGA-06-0210-01,23
TCGA-06-0211-01,11
TCGA-06-0214-01,3
TCGA-06-0648-01,25
TCGA-06-0686-01,67
TCGA-06-0744-01,2
TCGA-06-0745-01,5
TCGA-06-0877-01,2
TCGA-06-0881-01,12
TCGA-06-2557-01,110
TCGA-06-2570-01,29
TCGA-06-5415-01,11
TCGA-09-2045-01,0
TCGA-10-0934-01,0
TCGA-10-0937-01,130
TCGA-13-0723-01,4
TCGA-13-0890-01,32
TCGA-14-2554-01,7
TCGA-19-2624-01,19
TCGA-19-5960-01,30
TCGA-21-5782-01,146
TCGA-22-5477-01,124
TCGA-25-2400-01,146
TCGA-26-5132-01,20
TCGA-26-5135-01,42
TCGA-27-1831-01,0
TCGA-27-2523-01,2
TCGA-33-4586-01,7
TCGA-34-2600-01,273
TCGA-37-4135-01,4
TCGA-38-4629-01,13
TCGA-38-4630-01,11
TCGA-41-5651-01,29
TCGA-43-3394-01,70
TCGA-44-3396-01,0
TCGA-44-3917-01,21
TCGA-44-4112-01,18
TCGA-44-6774-01,21
TCGA-44-6775-01,0
TCGA-49-4510-01,24
TCGA-50-5944-01,67
TCGA-50-6597-01,203
TCGA-55-6972-01,27
TCGA-56-1622-01,166
TCGA-60-2711-01,151
TCGA-60-2713-01,100
TCGA-61-2000-01,231
TCGA-64-5778-01,137
TCGA-64-5779-01,336
TCGA-66-2756-01,122
TCGA-66-2757-01,0
TCGA-66-2759-01,0
TCGA-66-2766-01,152
TCGA-73-4668-01,10
TCGA-91-6829-01,0
TCGA-91-6831-01,36
TCGA-91-6836-01,2
TCGA-91-6840-01,14
TCGA-91-6847-01,17
TCGA-96-7545-01,25
TCGA-98-8022-01,6
TCGA-A2-A04P-01,1
TCGA-A2-A04T-01,0
TCGA-A2-A04X-01,115
TCGA-A2-A0D0-01,55
TCGA-A2-A0D1-01,99
TCGA-A2-A3XX-01,254
TCGA-A5-A0G5-01,0
TCGA-A5-A0GE-01,3
TCGA-A5-A0GX-01,0
TCGA-A6-2677-01,5
TCGA-A6-3810-01,316
TCGA-A6-5656-01,337
TCGA-A7-A0D9-01,514
TCGA-A7-A13D-01,9
TCGA-A8-A07I-01,208
TCGA-A8-A09I-01,188
TCGA-AA-3514-01,0
TCGA-AA-A00N-01,0
TCGA-AC-A2BK-01,46
TCGA-AD-A5EK-01,0
TCGA-AF-3913-01,0
TCGA-AN-A0XR-01,83
TCGA-AO-A0J6-01,0
TCGA-AO-A124-01,167
TCGA-AP-A053-01,66
TCGA-AP-A05A-01,13
TCGA-AP-A05D-01,20
TCGA-AP-A0LH-01,0
TCGA-AX-A06B-01,0
TCGA-AX-A0IU-01,152
TCGA-AX-A1C8-01,0
TCGA-AX-A2H5-01,114
TCGA-AZ-6601-01,0
TCGA-B3-4104-01,9
TCGA-B5-A0JN-01,0
TCGA-B5-A0K3-01,2
TCGA-B5-A1MY-01,217
TCGA-B6-A0I1-01,1
TCGA-B6-A0RG-01,14
TCGA-B7-5818-01,5
TCGA-B9-4116-01,161
TCGA-BA-4074-01,16
TCGA-BA-4076-01,56
TCGA-BA-5151-01,9
TCGA-BA-6869-01,0
TCGA-BA-6872-01,77
TCGA-BA-6873-01,0
TCGA-BB-4223-01,0
TCGA-BB-4224-01,57
TCGA-BC-A216-01,0
TCGA-BC-A217-01,127
TCGA-BH-A0DG-01,222
TCGA-BH-A0GY-01,212
TCGA-BH-A0HB-01,137
TCGA-BH-A0HX-01,313
TCGA-BH-A18U-01,145
TCGA-BL-A0C8-01,25
TCGA-BR-4183-01,41
TCGA-BR-4267-01,6
TCGA-BR-4357-01,195
TCGA-BR-4366-01,4
TCGA-BR-4369-01,52
TCGA-BR-6458-01,89
TCGA-BR-6706-01,15
TCGA-BR-8373-01,0
TCGA-BS-A0U8-01,0
TCGA-BS-A0V8-01,0
TCGA-BT-A0S7-01,10
TCGA-BT-A0YX-01,0
TCGA-BT-A20P-01,18
TCGA-BT-A20V-01,111
TCGA-BW-A5NO-01,1
TCGA-C4-A0F0-01,35
TCGA-C5-A1BJ-01,21
TCGA-C5-A1M9-01,0
TCGA-C5-A1ML-01,187
TCGA-C5-A2LX-01,2
TCGA-C5-A2M1-01,0
TCGA-C5-A3HD-01,0
TCGA-C5-A3HF-01,0
TCGA-C8-A130-01,163
TCGA-CD-5800-01,133
TCGA-CF-A1HS-01,5
TCGA-CG-4301-01,69
TCGA-CG-4440-01,17
TCGA-CG-4444-01,115
TCGA-CG-4449-01,314
TCGA-CG-4455-01,66
TCGA-CG-4466-01,72
TCGA-CG-4469-01,1
TCGA-CG-4475-01,100
TCGA-CG-4476-01,20
TCGA-CG-5724-01,82
TCGA-CG-5725-01,45
TCGA-CG-5727-01,32
TCGA-CG-5734-01,16
TCGA-CH-5751-01,70
TCGA-CH-5764-01,0
TCGA-CN-4725-01,14
TCGA-CN-4729-01,6
TCGA-CN-4736-01,0
TCGA-CN-4741-01,517
TCGA-CN-5363-01,29
TCGA-CN-5365-01,1
TCGA-CN-5367-01,129
TCGA-CN-5374-01,0
TCGA-CN-6011-01,0
TCGA-CN-6989-01,137
TCGA-CN-6994-01,43
TCGA-CQ-5330-01,6
TCGA-CQ-6224-01,5
TCGA-CQ-6228-01,63
TCGA-CQ-6229-01,3
TCGA-CR-6482-01,0
TCGA-CR-7369-01,16
TCGA-CR-7404-01,0
TCGA-CS-4941-01,16
TCGA-CV-5432-01,21
TCGA-CV-5443-01,60
TCGA-CV-6441-01,175
TCGA-CV-6933-01,5
TCGA-CV-6948-01,0
TCGA-CV-6956-01,0
TCGA-CV-6959-01,17
TCGA-CV-6960-01,18
TCGA-CV-7095-01,15
TCGA-CV-7100-01,0
TCGA-CV-7414-01,3
TCGA-CV-7416-01,0
TCGA-CV-7434-01,8
TCGA-CZ-5454-01,0
TCGA-CZ-5987-01,1
TCGA-D1-A169-01,96
TCGA-D1-A1NU-01,0
TCGA-D1-A1O0-01,19
TCGA-D1-A2G6-01,1
TCGA-D3-A2J6-06,35
TCGA-D3-A2JC-06,176
TCGA-D3-A3C3-06,218
TCGA-D3-A3CC-06,281
TCGA-D6-6826-01,11
TCGA-D7-6518-01,12
TCGA-D7-6519-01,27
TCGA-D7-6526-01,118
TCGA-D7-6528-01,7
TCGA-D7-6817-01,4
TCGA-D7-A4YX-01,33
TCGA-D9-A148-06,0
TCGA-D9-A1X3-06,141
TCGA-DA-A3F5-06,87
TCGA-DD-A3A7-01,0
TCGA-DD-A3A9-01,0
TCGA-DD-A4ND-01,88
TCGA-DG-A2KJ-01,0
TCGA-DI-A1NN-01,34
TCGA-DJ-A1QM-01,0
TCGA-DK-A1A3-01,102
TCGA-DK-A1A6-01,9
TCGA-DK-A1AC-01,51
TCGA-DK-A1AD-01,324
TCGA-DK-A3IM-01,105
TCGA-DK-A3IT-01,31
TCGA-DK-A3WX-01,2
TCGA-DK-A3X2-01,13
TCGA-DO-A1K0-01,0
TCGA-DQ-5625-01,0
TCGA-DS-A0VL-01,202
TCGA-DU-5847-01,0
TCGA-DU-5852-01,15
TCGA-DU-5854-01,10
TCGA-DU-6403-01,27
TCGA-DU-6405-01,3
TCGA-DU-7010-01,25
TCGA-DU-7292-01,68
TCGA-DU-7294-01,0
TCGA-DX-A1KU-01,222
TCGA-DX-A1KW-01,151
TCGA-DX-A1L0-01,228
TCGA-DX-A1L2-01,318
TCGA-DX-A1L3-01,142
TCGA-DX-A23R-01,233
TCGA-DX-A240-01,300
TCGA-DX-A2J4-01,202
TCGA-DX-A3LS-01,170
TCGA-DX-A3LU-01,118
TCGA-DX-A3LW-01,256
TCGA-DX-A3LY-01,250
TCGA-DX-A3M1-01,163
TCGA-DX-A3U5-01,242
TCGA-E2-A1LG-01,98
TCGA-E2-A1LK-01,299
TCGA-E2-A1LL-01,12
TCGA-E7-A3X6-01,0
TCGA-EA-A3HQ-01,0
TCGA-EA-A3QD-01,0
TCGA-EB-A24C-01,137
TCGA-EB-A24D-01,0
TCGA-EE-A29R-06,606
TCGA-EE-A29V-06,45
TCGA-EE-A2GN-06,0
TCGA-EE-A2M6-06,2
TCGA-EE-A2MS-06,181
TCGA-EE-A2MT-06,6
TCGA-EE-A3JI-06,48
TCGA-EJ-5494-01,0
TCGA-EJ-5511-01,0
TCGA-EJ-5518-01,0
TCGA-EJ-7782-01,0
TCGA-EK-A2PM-01,0
TCGA-EK-A2RL-01,2
TCGA-EK-A3GJ-01,0
TCGA-EM-A1YA-01,0
TCGA-EO-A1Y8-01,66
TCGA-EP-A2KB-01,0
TCGA-EQ-5647-01,115
TCGA-ER-A193-06,21
TCGA-ER-A196-01,196
TCGA-ER-A197-06,223
TCGA-ER-A19L-06,24
TCGA-ER-A19T-01,177
TCGA-EW-A1PC-01,10
TCGA-EW-A3U0-01,5
TCGA-EY-A1GC-01,20
TCGA-FD-A3N5-01,5
TCGA-FD-A3N6-01,68
TCGA-FD-A3NA-01,31
TCGA-FD-A3SM-01,29
TCGA-FD-A3SO-01,0
TCGA-FE-A234-01,0
TCGA-FF-8042-01,0
TCGA-FG-6688-01,36
TCGA-FG-6691-01,0
TCGA-FG-6692-01,4
TCGA-FI-A2CY-01,13
TCGA-FS-A1YW-06,14
TCGA-FS-A1ZE-06,408
TCGA-FS-A1ZQ-06,4
TCGA-FT-A3EE-01,2
TCGA-FU-A3EO-01,0
TCGA-FU-A3HY-01,0
TCGA-G2-A2EF-01,0
TCGA-G2-A2EK-01,14
TCGA-G3-A25T-01,0
TCGA-G9-6342-01,0
TCGA-G9-6367-01,0
TCGA-G9-6496-01,419
TCGA-GC-A3BM-01,2
TCGA-GC-A3I6-01,59
TCGA-GC-A3OO-01,0
TCGA-GC-A3RD-01,20
TCGA-GF-A2C7-01,4
TCGA-GM-A2DF-01,22
TCGA-GM-A3XL-01,0
TCGA-GN-A262-06,0
TCGA-GN-A264-06,13
TCGA-GN-A26A-06,0
TCGA-GV-A3JV-01,65
TCGA-GV-A3JZ-01,209
TCGA-GV-A3QF-01,5
TCGA-GV-A3QH-01,101
TCGA-HD-7753-01,0
TCGA-HD-7754-01,16
TCGA-HG-A2PA-01,0
TCGA-HT-A61B-01,1
TCGA-HU-A4G6-01,75
TCGA-HW-7495-01,0
TCGA-IG-A3I8-01,18
TCGA-IG-A3YB-01,21
TCGA-IG-A3YC-01,198
TCGA-IG-A50L-01,8
TCGA-IG-A97I-01,20
TCGA-IK-7675-01,18
TCGA-IR-A3LA-01,158
TCGA-IR-A3LH-01,2
TCGA-IR-A3LK-01,65
TCGA-IS-A3KA-01,54
TCGA-J8-A3YH-01,0
TCGA-K4-A3WV-01,88
TCGA-KL-8323-01,0
TCGA-KL-8341-01,126
TCGA-L5-A43E-01,0
TCGA-L5-A43I-01,19
TCGA-L5-A43M-01,137
TCGA-L5-A4OF-01,0
TCGA-L5-A4OH-01,35
TCGA-L5-A4OJ-01,77
TCGA-L5-A4ON-01,85
TCGA-L5-A4OS-01,2
TCGA-L5-A4OT-01,32
TCGA-L5-A891-01,17
TCGA-L5-A8NE-01,46
TCGA-L7-A56G-01,279
TCGA-L7-A6VZ-01,82
TCGA-LN-A49K-01,58
TCGA-LN-A49L-01,79
TCGA-LN-A49P-01,0
TCGA-LN-A49R-01,2
TCGA-LN-A49V-01,40
TCGA-LN-A49W-01,62
TCGA-LN-A49Y-01,541
TCGA-LN-A4A1-01,38
TCGA-LN-A4A3-01,26
TCGA-LN-A4A6-01,0
TCGA-LN-A4A8-01,289
TCGA-LN-A5U5-01,205
TCGA-LN-A9FQ-01,45
TCGA-V4-A9E7-01,0
TCGA-V4-A9EE-01,0
TCGA-V5-A7RC-01,706
TCGA-VD-A8K9-01,559
TCGA-WP-A9GB-01,126
TCGA-X2-A95T-01,112
